name,id,classification,mass,year,latitude,longitude
ad-Dahbubah,376,H5,90000.0,1961.0,19.83333,51.25
Admire,380,"Pallasite, PMG",180000.0,1881.0,38.7,-96.1
Adrian,388,H4,22600.0,1936.0,35.15,-102.71667
Adzhi-Bogdo (iron),389,"Iron, IAB complex",582000.0,1952.0,44.86667,95.41667
Aggie Creek,393,"Iron, IIIAB",43000.0,1942.0,64.88333,-163.16667
Agoudal,57354,"Iron, IIAB",100000.0,2000.0,31.98457,-5.51528
Agua Blanca,397,"Iron, IIIAB",49000.0,1938.0,-28.91667,-66.95
Ahumada,419,"Pallasite, PMG",52600.0,1909.0,30.7,-105.5
Ainsworth,422,"Iron, IIAB",80650.0,1907.0,42.6,-99.8
Al Haggounia 001,44857,Aubrite,3000000.0,2006.0,27.5,-12.5
Al Huqf 010,443,L6,41539.3,2002.0,19.86785,57.0028
Al Huqf 064,48536,H4,12834.0,2002.0,19.40412,57.27497
Alamogordo,449,H5,13600.0,1938.0,32.9,-105.93333
Alatage,452,"Iron, IIIAB",37500.0,1959.0,42.33333,93.0
Albin (pallasite),455,"Pallasite, PMG",37600.0,1915.0,41.5,-104.1
Albin (stone),456,L,15400.0,1949.0,41.41667,-104.1
Albion,457,"Iron, IVA",12280.0,1966.0,46.83333,-117.25
Aldama (a),459,"Iron, IIIAB",11000.0,1985.0,28.83333,-105.86667
Alikatnima,471,"Iron, ungrouped",20000.0,1931.0,-23.33333,134.11667
Aliskerovo,472,"Iron, IIIE-an",58400.0,1977.0,67.88333,167.5
al-Jimshan,473,H4,11450.0,1955.0,20.7,52.83333
Alkhamasin,475,"Iron, IIAB",1200000.0,1973.0,20.6,44.88333
Allan Hills 84005,608,L5,12000.0,1984.0,-76.89102,156.89321
Allan Hills 84006,609,H4/5,16000.0,1984.0,-76.76228,158.77438
Allan Hills A76001,1308,L6,20151.0,1976.0,-76.75,159.33333
Allan Hills A76003,1310,L6,10495.0,1976.0,-76.71667,159.66667
Allan Hills A76009,1316,L6,407000.0,1976.0,-76.71667,159.66667
Allan Hills A77226,1537,H4,15323.0,1977.0,-76.71667,159.66667
Allan Hills A77250,1561,"Iron, IAB-MG",10555.0,1977.0,-76.71667,159.66667
Allan Hills A77283,1593,"Iron, IAB-MG",10510.0,1977.0,-76.71667,159.66667
Allan Hills A78084,1699,H3.9,14280.0,1978.0,-76.71667,159.66667
Allan Hills A81013,1973,"Iron, IIAB",17727.0,1981.0,-76.74756,158.84338
Altonah,2286,"Iron, IVA",21500.0,1932.0,40.56667,-110.48333
Alvord,2287,"Iron, IVA",17500.0,1976.0,43.32222,-96.28889
Angelica,2300,"Iron, IIIAB",14800.0,1916.0,44.25,-88.25
Annaheim,2306,"Iron, IAB-sLL",13500.0,1916.0,52.33333,-104.86667
Answer,2309,Iron,11090.0,1970.0,-21.65972,140.90694
Anthony,2310,H5,20000.0,1919.0,37.08333,-98.05
Anton,2311,H4,41800.0,1965.0,33.7825,-102.18111
Anyujskij,2312,"Iron, IIAB",100000.0,1981.0,66.9,164.2
Apoala,2317,"Iron, IIIAB",85000.0,1889.0,17.7,-97.0
Aprel'sky,2319,"Iron, IIIAB",54600.0,1969.0,53.3,126.11667
Arapahoe,2323,L5,19083.0,1940.0,38.8,-102.2
Araslanovo,2324,L/LL5,132000.0,1973.0,55.14167,48.2
Arcadia,2326,LL6,19400.0,1937.0,41.41667,-99.1
Arispe,2332,"Iron, IC",683000.0,1896.0,30.33333,-109.98333
Arltunga,2334,"Iron, IID-an",18100.0,1908.0,-23.33333,134.66667
Armanty,2335,"Iron, IIIE",28000000.0,1898.0,47.0,88.0
Arriba,2339,L5,31100.0,1936.0,39.3,-103.25
